town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
192,MONTAGUE,WMECO,Berkshire Gas,Comcast,WMECO,Berkshire Gas,Comcast
193,MONTEREY,National Grid,None,None,National Grid,None,None
194,MONTGOMERY,WMECO,None,None,WMECO,None,None
195,MOUNT WASHINGTON,National Grid,None,None,National Grid,None,None
196,NAHANT,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
197,NANTUCKET,National Grid,None,Comcast,National Grid,None,Comcast
198,NATICK,NSTAR,NSTAR,Comcast; RCN; Verizon,NSTAR,KeySpan; NSTAR,Comcast; RCN
199,NEEDHAM,NSTAR,NSTAR,Comcast; RCN; Verizon,NSTAR,KeySpan; NSTAR,Comcast; RCN
200,NEW ASHFORD,WMECO,None,None,WMECO,None,None
201,NEW BEDFORD,NSTAR,NSTAR,Comcast,NSTAR,NSTAR,Comcast
202,NEW BRAINTREE,National Grid,None,None,National Grid,None,None
203,NEW MARLBOROUGH,National Grid,None,None,National Grid,None,None
204,NEW SALEM,National Grid,None,None,National Grid,None,None
205,NEWBURY,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
206,NEWBURYPORT,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
207,NEWTON,NSTAR,National Grid,Comcast; RCN,NSTAR,KeySpan,Comcast; RCN
208,NORFOLK,NSTAR,Bay State,Comcast; Verizon,NSTAR,Bay State; KeySpan,Comcast
209,NORTH ADAMS,National Grid,Berkshire Gas,Time Warner,National Grid,Berkshire Gas,Adelphia
210,NORTH ANDOVER,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
211,NORTH ATTLEBORO,Municipal,New England Gas,Comcast,Municipal,New England Gas,Comcast
212,NORTH BROOKFIELD,National Grid,National Grid,Charter,National Grid,KeySpan,Charter
213,NORTH READING,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
214,NORTHAMPTON,National Grid,Bay State,Comcast,National Grid,Bay State,Comcast
215,NORTHBOROUGH,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
216,NORTHBRIDGE,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
217,NORTHFIELD,WMECO,None,Comcast,WMECO,None,Comcast
218,NORTON,National Grid,Bay State,Comcast,National Grid,Bay State,Comcast
219,NORWELL,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
220,NORWOOD,Municipal,National Grid,Comcast; RCN; Norwood,Municipal,KeySpan,Comcast; Norwood
221,OAK BLUFFS,NSTAR,None,Comcast,NSTAR,None,Adelphia
