town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
15,ATHOL,National Grid,None,Time Warner,National Grid,None,Time Warner
16,ATTLEBORO,National Grid,Bay State,Comcast,National Grid,Bay State,Comcast
17,AUBURN,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
18,AVON,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
19,AYER,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
20,BARNSTABLE,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
21,BARRE,National Grid,None,Charter,National Grid,None,Charter
22,BECKET,WMECO,None,None,WMECO,None,None
23,BEDFORD,NSTAR,National Grid,Comcast; Verizon,NSTAR,KeySpan,Comcast
24,BELCHERTOWN,National Grid,None,Charter,National Grid,None,Charter
25,BELLINGHAM,NSTAR,Bay State; Blackstone Gas Co.,Comcast,National Grid; NSTAR,Bay State,Comcast
26,BELMONT,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
27,BERKLEY,Municipal,Bay State; NSTAR,Comcast,Municipal,Bay State,Comcast
28,BERLIN,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
29,BERNARDSTON,WMECO,None,Comcast,WMECO,None,Comcast
30,BEVERLY,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
31,BILLERICA,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
32,BLACKSTONE,National Grid,Blackstone Gas Co.,Comcast,National Grid,Blackstone Gas Co.,Comcast
33,BLANDFORD,WMECO,None,None,WMECO,None,None
34,BOLTON,National Grid,NSTAR,Comcast,National Grid,NSTAR,Comcast
35,BOSTON,NSTAR,National Grid; NSTAR,Comcast; RCN,NSTAR,KeySpan; NSTAR,Comcast; RCN
36,BOURNE,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Adelphia
37,BOXBOROUGH,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
38,BOXFORD,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
39,BOYLSTON,Municipal,NSTAR,Charter,Municipal,NSTAR,Charter
40,BRAINTREE,Municipal,National Grid,Comcast; RCN; Braintree,Municipal,KeySpan,Comcast; Braintree
41,BREWSTER,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
42,BRIDGEWATER,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
43,BRIMFIELD,National Grid,None,Charter,National Grid,None,Charter
44,BROCKTON,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
45,BROOKFIELD,National Grid,National Grid,Charter,National Grid,KeySpan,Charter
46,BROOKLINE,NSTAR,National Grid,Comcast; RCN,NSTAR,KeySpan,Comcast; RCN
47,BUCKLAND,WMECO,None,Comcast,WMECO,None,Comcast
